group_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,group_type,procedure,accuracy_median,accuracy_mean,accuracy_calculated
9,13,5,0.55,0.2,1,diverse,deliberation,0.6448371411422178,0.6448371411422178,
9,13,5,0.55,0.2,1,expert,deliberation,0.6983710255401233,0.6983710255401233,
9,13,5,0.6,0.2,1,diverse,deliberation,0.773033226853774,0.773033226853774,
9,13,5,0.6,0.2,1,expert,deliberation,0.7999166208847732,0.7999166208847732,
9,13,5,0.65,0.2,1,diverse,deliberation,0.8726842506787728,0.8726842506787728,
9,13,5,0.65,0.2,1,expert,deliberation,0.88055898906893,0.88055898906893,
9,17,5,0.55,0.2,1,diverse,deliberation,0.6637427524998297,0.6637427524998297,
9,17,5,0.55,0.2,1,expert,deliberation,0.7338870098638536,0.7338870098638536,
9,17,5,0.6,0.2,1,diverse,deliberation,0.802961607356625,0.802961607356625,
9,17,5,0.6,0.2,1,expert,deliberation,0.8288615933437351,0.8288615933437351,
9,17,5,0.65,0.2,1,diverse,deliberation,0.9025750441378728,0.9025750441378728,
9,17,5,0.65,0.2,1,expert,deliberation,0.901800411748886,0.901800411748886,
100000001,13,5,0.55,0.2,100,diverse,aggregation,0.6448371411422178,0.6448371411422178,0.6448371411422178
100000001,13,5,0.55,0.2,100,restricted_10,aggregation,0.6448371411422178,0.6448371411422178,0.6448371411422178
100000001,13,5,0.55,0.2,100,restricted_20,aggregation,0.6514009417098348,0.6514009417098348,0.6525274216756
100000001,13,5,0.55,0.2,100,restricted_30,aggregation,0.6665784141179448,0.6665784141179448,0.6667216428207247
100000001,13,5,0.55,0.2,100,restricted_40,aggregation,0.67809970544458,0.678000371340277,0.6796804481018848
100000001,13,5,0.55,0.2,100,restricted_50,aggregation,0.6857229809126288,0.6857107426677688,0.6873171075698298
100000001,13,5,0.55,0.2,100,restricted_60,aggregation,0.692823075546705,0.692823075546705,0.693829096335403
100000001,13,5,0.55,0.2,100,restricted_70,aggregation,0.6985327783738793,0.6985083967313365,0.7000830034291434
100000001,13,5,0.55,0.2,100,restricted_80,aggregation,0.7049264198728368,0.7049414977653544,0.7064963774728095
100000001,13,5,0.55,0.2,100,restricted_90,aggregation,0.7116989073496442,0.7116989073496442,0.7127733457874879
100000001,13,5,0.6,0.2,100,diverse,aggregation,0.773033226853774,0.773033226853774,0.773033226853774
100000001,13,5,0.6,0.2,100,restricted_10,aggregation,0.773033226853774,0.773033226853774,0.773033226853774
100000001,13,5,0.6,0.2,100,restricted_20,aggregation,0.7774429844045684,0.7774429844045685,0.7785963088086216
100000001,13,5,0.6,0.2,100,restricted_30,aggregation,0.7887486876511083,0.7887486876511083,0.7888502202769956
100000001,13,5,0.6,0.2,100,restricted_40,aggregation,0.7965695101479696,0.7965820133348123,0.7975371537816361
100000001,13,5,0.6,0.2,100,restricted_50,aggregation,0.8013613368722887,0.8013425262936597,0.8021937260876523
100000001,13,5,0.6,0.2,100,restricted_60,aggregation,0.8050260146520954,0.8050260146520956,0.8057461578833298
100000001,13,5,0.6,0.2,100,restricted_70,aggregation,0.8078681381728983,0.8078706292298024,0.8085641352008233
100000001,13,5,0.6,0.2,100,restricted_80,aggregation,0.8101974453879716,0.8101974507129833,0.8106294936950912
100000001,13,5,0.6,0.2,100,restricted_90,aggregation,0.8113533562068761,0.8113533562068761,0.8113396537378531
100000001,13,5,0.65,0.2,100,diverse,aggregation,0.8726842506787728,0.8726842506787728,0.8726842506787728
100000001,13,5,0.65,0.2,100,restricted_10,aggregation,0.8726842506787728,0.8726842506787728,0.8726842506787728
100000001,13,5,0.65,0.2,100,restricted_20,aggregation,0.8755787291535507,0.8755787291535507,0.8763288316008229
100000001,13,5,0.65,0.2,100,restricted_30,aggregation,0.8826477673413967,0.8826477673413967,0.8827105947153193
100000001,13,5,0.65,0.2,100,restricted_40,aggregation,0.8871952458852032,0.8872089163642248,0.8876859760966919
100000001,13,5,0.65,0.2,100,restricted_50,aggregation,0.8896351492992108,0.8896407753749574,0.8899704265552958
100000001,13,5,0.65,0.2,100,restricted_60,aggregation,0.8911178317308784,0.8911178317308784,0.8913589833936482
100000001,13,5,0.65,0.2,100,restricted_70,aggregation,0.8918318831794684,0.8918369007639353,0.8919275250982519
100000001,13,5,0.65,0.2,100,restricted_80,aggregation,0.8916036929472989,0.8916059036971997,0.891368818799795
100000001,13,5,0.65,0.2,100,restricted_90,aggregation,0.8896679137157366,0.8896679137157366,0.8888195318956047
100000001,17,5,0.55,0.2,100,diverse,aggregation,0.6637427524998297,0.6637427524998297,0.6637427524998297
100000001,17,5,0.55,0.2,100,restricted_10,aggregation,0.6637427524998297,0.6637427524998297,0.6639253932007562
100000001,17,5,0.55,0.2,100,restricted_20,aggregation,0.6778817240102626,0.6778992293181312,0.6787261271786525
100000001,17,5,0.55,0.2,100,restricted_30,aggregation,0.6937001732368848,0.6936975610217049,0.6946804618384904
100000001,17,5,0.55,0.2,100,restricted_40,aggregation,0.7033071389545332,0.7033075488888908,0.704240655648402
100000001,17,5,0.55,0.2,100,restricted_50,aggregation,0.7106903617702897,0.7106878556564188,0.7117591961454501
100000001,17,5,0.55,0.2,100,restricted_60,aggregation,0.7178087782673354,0.7178087782673352,0.7189063526907988
